KECAMATAN,DESA,DUSUN
KAWUNGANTEN,KAWUNGANTEN,KARANGSARI
KAWUNGANTEN,KAWUNGANTEN,KARANGBAWANG
KAWUNGANTEN,KAWUNGANTEN,KARANGREJA
KAWUNGANTEN,KAWUNGANTEN LOR,GUNUNGSARI
KAWUNGANTEN,KAWUNGANTEN LOR,KAWUNGANTEN
KAWUNGANTEN,KAWUNGANTEN LOR,SIDAMUKTI
KAWUNGANTEN,KAWUNGANTEN LOR,TEGALSARI
KAWUNGANTEN,GRUGU,AJIBARANG
KAWUNGANTEN,GRUGU,KARANGSALAM
KAWUNGANTEN,GRUGU,RAWAREJA
KAWUNGANTEN,BRINGKENG,SIDAURIP
KAWUNGANTEN,BRINGKENG,SUMBEREJA
KAWUNGANTEN,UJUNGMANIK,BANJURSARI
KAWUNGANTEN,UJUNGMANIK,KALIYASA
KAWUNGANTEN,UJUNGMANIK,SIDAMULYA
KAWUNGANTEN,UJUNGMANIK,UJUNGMANIK
KAWUNGANTEN,KUBANGKANGKUNG,KUBANGKANGKUNG KIDUL
KAWUNGANTEN,KUBANGKANGKUNG,KUBANGKANGKUNG LOR
KAWUNGANTEN,KUBANGKANGKUNG,SOKAWERA KULON
KAWUNGANTEN,KUBANGKANGKUNG,SOKAWERA WETAN
KAWUNGANTEN,KUBANGKANGKUNG,SIDASARI WETAN
KAWUNGANTEN,KUBANGKANGKUNG,SIDASARI KULON
KAWUNGANTEN,BOJONG,BUGELSAMPANG
KAWUNGANTEN,BOJONG,GUNUNGJAYA
KAWUNGANTEN,BOJONG,JAYAGIRI
KAWUNGANTEN,BOJONG,KARYAMEKAR
KAWUNGANTEN,BOJONG,KRAMASARI
KAWUNGANTEN,BOJONG,MEKARSARI
KAWUNGANTEN,BOJONG,NUSADADI
KAWUNGANTEN,BOJONG,NUSAJAYA
KAWUNGANTEN,MENTASAN,MENTASAN
KAWUNGANTEN,MENTASAN,TANJUNGSARI
KAWUNGANTEN,KALIJERUK,CIBOGO
KAWUNGANTEN,KALIJERUK,CILEMBA
KAWUNGANTEN,KALIJERUK,KUBANG
KAWUNGANTEN,KALIJERUK,TEGALANYAR
KAWUNGANTEN,SARWADADI,BENDAGEDE
KAWUNGANTEN,SARWADADI,CIGEBRET
KAWUNGANTEN,SARWADADI,SARWADADI
KAWUNGANTEN,SARWADADI,SARWATULUS
KAWUNGANTEN,BABAKAN,PINAYUNGAN
KAWUNGANTEN,BABAKAN,PURWOSARI
KAWUNGANTEN,SIDAURIP,BOJONG DJANDER
KAWUNGANTEN,SIDAURIP,BOJONG PUTUT
